date,latitude,longitude,lat_lon,blue,green,red,nir
1/3/2020,44.69527272,-122.2083833,44.69527271948894_-122.20838330336692,425,573,484,468
1/3/2020,44.72141369,-122.2461125,44.72141369425682_-122.24611254529994,581,782,868,1312
1/3/2020,44.71036442,-122.1892492,44.71036441626215_-122.18924918781518,574,673,850,1188
1/3/2020,44.70281857,-122.2323683,44.702818567875546_-122.23236832145292,1344,1675,1705,2696
1/3/2020,44.71171189,-122.172271,44.71171188918833_-122.17227102894532,439,502,440,528
1/3/2020,44.72383915,-122.1671506,44.72383914552394_-122.16715063182583,107,134,181,347
1/3/2020,44.69203878,-122.2059579,44.692038784466114_-122.2059578520998,511,646,548,540
1/3/2020,44.71521532,-122.1679591,44.7152153187964_-122.16795911558154,468,635,534,491
1/3/2020,44.71979673,-122.1593353,44.71979672674541_-122.159335288854,350,447,532,665
1/3/2020,44.6960812,-122.1951781,44.69608120324465_-122.19517806869035,421,471,478,682
1/3/2020,44.69985413,-122.1970645,44.69985412743795_-122.19706453078702,431,606,518,509
1/3/2020,44.70955593,-122.1806254,44.70955593250644_-122.18062536108764,543,658,559,563
1/3/2020,44.72141369,-122.1835898,44.72141369425682_-122.18358980152524,353,540,740,1047
1/3/2020,44.71144239,-122.1792779,44.7114423946031_-122.17927788816144,514,644,536,499
1/3/2020,44.71359835,-122.1714625,44.71359835128498_-122.1714625451896,480,636,511,526
1/3/2020,44.7160238,-122.1873627,44.7160238025521_-122.18736272571851,436,582,779,1165
1/3/2020,44.72330016,-122.1525979,44.723300156353474_-122.1525979242231,491,610,777,1162
1/3/2020,44.68907434,-122.2048799,44.68907434402852_-122.20487987375886,332,376,409,591
1/3/2020,44.70686099,-122.2334463,44.706860986654085_-122.23344629979384,1997,2064,2098,2886
1/3/2020,44.69581171,-122.197334,44.69581170865941_-122.19733402537226,402,418,441,676
1/3/2020,44.72653409,-122.1463995,44.7265340913763_-122.14639954876267,414,534,643,888
1/3/2020,44.706322,-122.1949086,44.70632199748361_-122.19490857410511,834,1085,1283,1650
1/3/2020,44.69850665,-122.2075748,44.698506654511775_-122.2075748196112,465,636,503,547
1/3/2020,44.71063391,-122.1757745,44.710633910847385_-122.1757744585534,511,631,524,558
1/3/2020,44.69850665,-122.1889797,44.698506654511775_-122.18897969322994,397,460,454,660
1/3/2020,44.70659149,-122.1838593,44.706591492068846_-122.18385929611046,552,656,550,576
1/3/2020,44.69284727,-122.2070358,44.69284726822182_-122.20703583044074,492,660,560,532
1/3/2020,44.71305936,-122.1752355,44.71305936211451_-122.17523546938293,521,682,567,537
1/3/2020,44.71710178,-122.1830508,44.717101780893046_-122.18305081235476,455,605,589,440
1/3/2020,44.71548481,-122.1701151,44.71548481338163_-122.17011507226344,553,769,1019,1432
1/3/2020,44.70093211,-122.2436871,44.7009321057789_-122.24368709403282,1308,1752,2012,2750
1/3/2020,44.69419474,-122.2118867,44.694194741148_-122.211886732975,394,552,465,446
1/3/2020,44.6912303,-122.2137732,44.6912303007104_-122.21377319507164,360,388,384,523
1/3/2020,44.69985413,-122.1924831,44.69985412743795_-122.192483122838,505,606,499,531
1/3/2020,44.71791026,-122.1817033,44.71791026464875_-122.18170333942858,330,508,535,427
1/3/2020,44.69958463,-122.2334463,44.69958463285272_-122.23344629979384,691,802,686,759
1/3/2020,44.69742868,-122.2029934,44.69742867617083_-122.2029934116622,475,638,520,558
1/3/2020,44.71737128,-122.1644557,44.717371275478285_-122.16445568597348,519,736,963,1362
1/3/2020,44.68449294,-122.1959866,44.68449293607951_-122.19598655244609,593,701,803,1159
1/3/2020,44.73246297,-122.1633777,44.73246297225149_-122.16337770763252,653,933,1129,1421
1/3/2020,44.69796767,-122.2458431,44.6979676653413_-122.24584305071473,443,524,428,670
1/3/2020,44.70578301,-122.2372192,44.70578300831314_-122.23721922398715,531,684,548,584
1/3/2020,44.71925774,-122.1862847,44.719257737574935_-122.18628474737758,426,599,751,1205
1/3/2020,44.72060521,-122.1585268,44.72060521050111_-122.15852680509828,534,711,956,1301
1/3/2020,44.72545611,-122.1658032,44.72545611303536_-122.16580315889966,324,508,730,1029
1/3/2020,44.72303066,-122.1757745,44.72303066176824_-122.1757744585534,200,259,289,365
1/3/2020,44.72734258,-122.172271,44.727342575132006_-122.17227102894532,346,528,744,1078
1/3/2020,44.71925774,-122.249077,44.719257737574935_-122.24907698573752,325,467,453,551
1/3/2020,44.72680359,-122.1628387,44.726803585961534_-122.16283871846208,267,500,735,1065
1/3/2020,44.69931514,-122.2304819,44.69931513826748_-122.23048185935626,627,779,657,675
1/3/2020,44.72249167,-122.1561014,44.72249167259776_-122.15610135383116,524,699,913,1333
1/3/2020,44.72410864,-122.1701151,44.72410864010918_-122.17011507226344,169,210,246,375
1/3/2020,44.71305936,-122.1779304,44.71305936211451_-122.17793041523528,533,636,523,507
1/3/2020,44.69069131,-122.2132342,44.69069131153993_-122.21323420590116,331,345,354,473
1/3/2020,44.70847795,-122.1814338,44.7084779541655_-122.18143384484334,565,672,543,579
1/3/2020,44.69419474,-122.2070358,44.694194741148_-122.20703583044074,503,622,528,524
1/3/2020,44.706322,-122.1862847,44.70632199748361_-122.18628474737758,487,640,525,540
1/3/2020,44.71710178,-122.250155,44.717101780893046_-122.25015496407848,222,259,311,514
1/3/2020,44.69230828,-122.2035324,44.69230827905135_-122.20353240083269,565,781,1009,1304
1/3/2020,44.71844925,-122.2442261,44.71844925381922_-122.24422608320327,270,405,507,789
1/3/2020,44.71332886,-122.1641862,44.71332885669975_-122.16418619138824,391,442,413,484
1/3/2020,44.72949853,-122.1633777,44.729498531813896_-122.16337770763252,313,472,647,904
1/3/2020,44.72437813,-122.1550234,44.72437813469441_-122.15502337549025,480,670,924,1306
1/3/2020,44.69958463,-122.2418006,44.69958463285272_-122.24180063193616,481,510,534,784
1/3/2020,44.6963507,-122.248538,44.696350697829885_-122.24853799656708,505,490,478,690
1/3/2020,44.6963507,-122.2143122,44.696350697829885_-122.21431218424212,469,618,506,534
1/3/2020,44.70686099,-122.2385667,44.706860986654085_-122.23856669691334,564,667,568,630
1/3/2020,44.72761207,-122.1666116,44.727612069717246_-122.16661164265535,288,414,530,669
1/3/2020,44.7160238,-122.1687676,44.7160238025521_-122.16876759933726,530,769,1033,1452
1/3/2020,44.70847795,-122.2420701,44.7084779541655_-122.2420701265214,809,1047,1275,1811
1/3/2020,44.71252037,-122.174966,44.712520372944034_-122.17496597479769,527,648,527,546
1/3/2020,44.72006622,-122.1318468,44.72006622133064_-122.13184684115994,564,654,691,1020
1/3/2020,44.69176929,-122.2089223,44.69176928988088_-122.2089222925374,401,473,439,473
1/3/2020,44.73138499,-122.1622997,44.73138499391055_-122.1622997292916,584,825,1075,1325
1/3/2020,44.71332886,-122.1776609,44.71332885669975_-122.17766092065004,527,636,555,528
1/3/2020,44.71305936,-122.1865542,44.71305936211451_-122.18655424196282,392,501,640,1061
1/3/2020,44.69419474,-122.2016459,44.694194741148_-122.20164593873602,411,524,623,872
1/3/2020,44.70174059,-122.1900577,44.7017405895346_-122.19005767157088,485,586,507,553
1/3/2020,44.70901694,-122.2418006,44.70901694333597_-122.24180063193616,914,1172,1372,1884
1/3/2020,44.69473373,-122.2175461,44.69473373031847_-122.21754611926494,463,638,550,520
1/3/2020,44.72033572,-122.1512505,44.72033571591588_-122.15125045129692,225,322,338,554
1/3/2020,44.71305936,-122.2401837,44.71305936211451_-122.24018366442476,937,1203,1359,1764
1/3/2020,44.69715918,-122.2011069,44.69715918158559_-122.20110694956556,509,620,552,520
1/3/2020,44.72761207,-122.1569098,44.727612069717246_-122.15690983758688,225,426,643,1025
1/3/2020,44.69311676,-122.2153902,44.69311676280706_-122.21539016258306,387,443,388,532
1/3/2020,44.69257777,-122.2073053,44.692577773636586_-122.20730532502598,508,644,553,553
1/3/2020,44.6963507,-122.2280564,44.696350697829885_-122.22805640808916,529,518,484,655
1/3/2020,44.72815106,-122.1633777,44.72815105888772_-122.16337770763252,202,336,476,862
1/3/2020,44.72410864,-122.1547539,44.72410864010918_-122.154753880905,515,660,884,1224
1/3/2020,44.72006622,-122.1515199,44.72006622133064_-122.15151994588216,234,296,326,540
1/3/2020,44.71144239,-122.173349,44.7114423946031_-122.17334900728626,515,626,523,555
1/3/2020,44.69311676,-122.2531194,44.69311676280706_-122.25311940451608,514,556,550,849
1/3/2020,44.71871875,-122.2442261,44.71871874840446_-122.24422608320327,307,386,499,733
1/3/2020,44.70793896,-122.2420701,44.70793896499503_-122.2420701265214,810,1060,1270,1866
1/3/2020,44.72545611,-122.1784694,44.72545611303536_-122.17846940440576,335,514,694,1161
1/3/2020,44.69850665,-122.2315598,44.698506654511775_-122.2315598376972,660,728,645,679
1/3/2020,44.70039312,-122.197334,44.70039311660842_-122.19733402537226,497,619,527,549
1/3/2020,44.6963507,-122.1935611,44.696350697829885_-122.19356110117896,423,449,433,682
1/3/2020,44.70093211,-122.2307514,44.7009321057789_-122.2307513539415,560,704,583,637
1/3/2020,44.7262646,-122.1410097,44.72626459679107_-122.14100965705796,469,625,799,1188
1/3/2020,44.70093211,-122.2019154,44.7009321057789_-122.20191543332126,494,620,522,596
1/3/2020,44.72195268,-122.246921,44.72195268342729_-122.24692102905566,775,1074,1261,1746
1/3/2020,44.71413734,-122.1830508,44.71413734045545_-122.18305081235476,493,695,640,428
1/3/2020,44.72033572,-122.1323858,44.72033571591588_-122.1323858303304,473,516,540,735
1/3/2020,44.71467633,-122.1908662,44.71467632962592_-122.1908661553266,483,647,812,1145
1/3/2020,44.72653409,-122.1404707,44.7265340913763_-122.14047066788748,497,624,826,1113
1/3/2020,44.71925774,-122.246921,44.719257737574935_-122.24692102905566,322,415,332,377
1/3/2020,44.7160238,-122.1625692,44.7160238025521_-122.16256922387684,528,698,667,505
1/3/2020,44.69985413,-122.2280564,44.69985412743795_-122.22805640808916,587,714,611,659
1/3/2020,44.71791026,-122.2471905,44.71791026464875_-122.24719052364088,495,618,564,664
1/3/2020,44.68934384,-122.2064968,44.68934383861375_-122.20649684127028,304,352,373,570
1/3/2020,44.69688969,-122.2083833,44.69688968700036_-122.20838330336692,471,617,508,492
1/3/2020,44.71225088,-122.1889797,44.7122508783588_-122.18897969322994,669,803,951,1225
1/3/2020,44.72087471,-122.1765829,44.720874705086345_-122.1765829423091,179,237,249,431
1/3/2020,44.71791026,-122.2461125,44.71791026464875_-122.24611254529994,572,711,652,765
1/3/2020,44.69742868,-122.2339853,44.69742867617083_-122.23398528896432,568,563,521,728
1/3/2020,44.72060521,-122.176044,44.72060521050111_-122.17604395313862,121,138,165,286
1/3/2020,44.69527272,-122.1997595,44.69527271948894_-122.19975947663936,444,453,410,583
1/3/2020,44.71440684,-122.1873627,44.71440683504069_-122.18736272571851,507,652,846,1198
1/3/2020,44.72518662,-122.1695761,44.72518661845013_-122.16957608309296,554,764,946,1206
1/3/2020,44.70578301,-122.1889797,44.70578300831314_-122.18897969322994,521,645,509,568
1/3/2020,44.71737128,-122.2458431,44.717371275478285_-122.24584305071473,405,550,504,570
1/3/2020,44.72006622,-122.2498855,44.72006622133064_-122.24988546949324,292,423,343,362
1/3/2020,44.68287597,-122.1949086,44.68287596856809_-122.19490857410511,649,820,858,1063
1/3/2020,44.70766947,-122.1852068,44.70766947040979_-122.18520676903664,547,693,548,580
1/3/2020,44.72734258,-122.148286,44.727342575132006_-122.14828601085932,494,574,786,1116
1/3/2020,44.72249167,-122.1496335,44.72249167259776_-122.14963348378552,132,171,265,407
1/3/2020,44.69958463,-122.2450346,44.69958463285272_-122.245034566959,575,683,600,799
1/3/2020,44.72249167,-122.1582573,44.72249167259776_-122.15825731051304,412,661,955,1350
1/3/2020,44.72842055,-122.1601438,44.72842055347295_-122.1601437726097,204,365,577,928
1/3/2020,44.71737128,-122.2455736,44.717371275478285_-122.24557355612949,469,606,541,610
1/3/2020,44.70874745,-122.17281,44.708747448750735_-122.1728100181158,415,483,519,765
1/3/2020,44.69554221,-122.249077,44.69554221407418_-122.24907698573752,493,516,512,828
1/3/2020,44.71252037,-122.1843983,44.712520372944034_-122.18439828528092,533,746,666,500
1/3/2020,44.69203878,-122.2081138,44.692038784466114_-122.20811380878168,424,597,516,496
1/3/2020,44.7060525,-122.2361412,44.70605250289837_-122.23614124564622,949,1097,1012,1122
1/3/2020,44.68530142,-122.1981425,44.68530141983521_-122.19814250912796,586,721,784,1090
1/3/2020,44.71225088,-122.1709236,44.7122508783588_-122.17092355601912,390,425,380,543
1/3/2020,44.70093211,-122.1873627,44.7009321057789_-122.18736272571851,380,452,502,702
1/3/2020,44.69069131,-122.2062273,44.69069131153993_-122.20622734668504,501,608,527,518
1/3/2020,44.7262646,-122.1655337,44.72626459679107_-122.16553366431442,235,419,641,890
1/3/2020,44.72464763,-122.1833203,44.72464762927965_-122.18332030694,225,388,556,949
1/3/2020,44.70012362,-122.2350633,44.70012362202319_-122.23506326730528,751,786,709,769
1/3/2020,44.72572561,-122.1458606,44.7257256076206_-122.1458605595922,185,208,250,418
1/3/2020,44.69958463,-122.2447651,44.69958463285272_-122.24476507237377,607,665,591,723
1/3/2020,44.69527272,-122.2159292,44.69527271948894_-122.21592915175351,518,638,521,530
1/3/2020,44.69958463,-122.2318293,44.69958463285272_-122.23182933228244,659,786,655,706
1/3/2020,44.69338626,-122.2164681,44.69338625739229_-122.216468140924,407,462,412,529
1/3/2020,44.72869005,-122.1676896,44.72869004805819_-122.16768962099631,537,743,946,1201
1/3/2020,44.70012362,-122.2447651,44.70012362202319_-122.24476507237377,583,713,663,878
1/3/2020,44.69581171,-122.2296734,44.69581170865941_-122.22967337560056,476,532,532,807
1/3/2020,44.71225088,-122.1811644,44.7122508783588_-122.1811643502581,518,783,685,486
1/3/2020,44.71710178,-122.1574488,44.717101780893046_-122.15744882675736,540,628,777,1118
1/3/2020,44.7359664,-122.1577183,44.73596640185956_-122.1577183213426,188,216,291,506
1/3/2020,44.71494582,-122.1606828,44.71494582421116_-122.16068276178018,435,554,577,513
1/3/2020,44.72680359,-122.1598743,44.726803585961534_-122.15987427802447,208,384,591,963
1/3/2020,44.70982543,-122.1838593,44.70982542709168_-122.18385929611046,550,668,519,535
1/3/2020,44.70928644,-122.1841288,44.70928643792121_-122.1841287906957,528,675,520,543
1/3/2020,44.7060525,-122.1806254,44.70605250289837_-122.18062536108764,426,453,423,594
1/3/2020,44.71817976,-122.1625692,44.71817975923399_-122.16256922387684,562,825,1129,1494
1/3/2020,44.71171189,-122.174966,44.71171188918833_-122.17496597479769,529,635,517,551
1/3/2020,44.72572561,-122.1682286,44.7257256076206_-122.16822861016678,503,717,942,1171
1/3/2020,44.69015232,-122.2019154,44.69015232236946_-122.20191543332126,584,757,899,1205
1/3/2020,44.69581171,-122.1986815,44.69581170865941_-122.19868149829844,393,423,410,577
1/3/2020,44.71413734,-122.1620302,44.71413734045545_-122.16203023470636,520,686,653,535
1/3/2020,44.70928644,-122.174966,44.70928643792121_-122.17496597479769,418,424,437,628
1/3/2020,44.67775557,-122.1900577,44.67775557144861_-122.19005767157088,340,379,422,664
1/3/2020,44.7160238,-122.1596048,44.7160238025521_-122.15960478343924,558,735,784,609
1/3/2020,44.71440684,-122.1779304,44.71440683504069_-122.17793041523528,839,1151,1445,1811
1/3/2020,44.69554221,-122.1965255,44.69554221407418_-122.19652554161657,426,452,466,690
1/3/2020,44.73542741,-122.1593353,44.73542741268909_-122.159335288854,443,595,749,958
1/3/2020,44.69904564,-122.1951781,44.69904564368225_-122.19517806869035,387,472,392,512
1/3/2020,44.70227958,-122.2312903,44.702279578705074_-122.23129034311197,1448,1902,2162,2724
1/3/2020,44.71386785,-122.2450346,44.71386784587022_-122.245034566959,691,833,787,1097
1/3/2020,44.69769817,-122.2444956,44.69769817075606_-122.24449557778853,440,455,458,606
1/3/2020,44.72518662,-122.1714625,44.72518661845013_-122.1714625451896,673,912,1129,1365
1/3/2020,44.72491712,-122.1388537,44.72491712386488_-122.13885370037607,192,232,289,453
1/3/2020,44.68880485,-122.2043409,44.68880484944328_-122.2043408845884,376,442,461,687
1/3/2020,44.71683229,-122.1857458,44.71683228630781_-122.18574575820712,470,660,879,1249
1/3/2020,44.72330016,-122.1825118,44.723300156353474_-122.18251182318429,325,482,676,1018
1/3/2020,44.72788156,-122.1442436,44.72788156430248_-122.14424359208078,576,770,934,1221
1/3/2020,44.7060525,-122.1903272,44.70605250289837_-122.19032716615612,523,648,539,558
1/3/2020,44.69284727,-122.2108088,44.69284726822182_-122.21080875463404,424,574,471,460
1/3/2020,44.70820846,-122.1746965,44.70820845958026_-122.17469648021245,475,524,620,888
1/3/2020,44.70012362,-122.1922136,44.70012362202319_-122.19221362825276,486,579,507,548
1/3/2020,44.72033572,-122.1585268,44.72033571591588_-122.15852680509828,382,480,594,725
1/3/2020,44.70766947,-122.2412616,44.70766947040979_-122.24126164276568,612,830,1011,1388
1/3/2020,44.7012016,-122.2412616,44.70120160036413_-122.24126164276568,470,510,474,665
1/3/2020,44.71952723,-122.1558319,44.71952723216017_-122.15583185924594,411,510,627,972
1/3/2020,44.69500322,-122.2046104,44.69500322490371_-122.20461037917362,555,691,565,586
1/3/2020,44.71791026,-122.1892492,44.71791026464875_-122.18924918781518,567,743,992,1455
1/3/2020,44.69715918,-122.1965255,44.69715918158559_-122.19652554161657,339,408,369,492
1/3/2020,44.71440684,-122.1911356,44.71440683504069_-122.19113564991184,572,753,913,1191
1/3/2020,44.70093211,-122.2040714,44.7009321057789_-122.20407139000316,777,1020,1287,1706
1/3/2020,44.70766947,-122.1795474,44.70766947040979_-122.17954738274668,442,466,444,582
1/3/2020,44.70281857,-122.19949,44.702818567875546_-122.19948998205416,916,1270,1493,2466
1/3/2020,44.70982543,-122.1830508,44.70982542709168_-122.18305081235476,521,671,516,526
1/3/2020,44.71467633,-122.1746965,44.71467632962592_-122.17469648021245,496,710,736,770
1/3/2020,44.70497452,-122.1930221,44.70497452455744_-122.19302211200848,466,620,509,537
1/3/2020,44.72276117,-122.150442,44.722761167183_-122.1504419675412,260,289,387,596
1/3/2020,44.71737128,-122.1660727,44.717371275478285_-122.16607265348487,610,839,1110,1562
1/3/2020,44.71898824,-122.24746,44.718988242989695_-122.24746001822612,319,439,349,385
1/3/2020,44.72680359,-122.149364,44.726803585961534_-122.14936398920028,605,923,864,1454
1/3/2020,44.72815106,-122.1676896,44.72815105888772_-122.16768962099631,593,822,1050,1322
1/3/2020,44.71144239,-122.1711931,44.7114423946031_-122.17119305060436,343,394,401,637
1/3/2020,44.69850665,-122.2253615,44.698506654511775_-122.22536146223678,1139,1413,1717,2078
1/3/2020,44.69446424,-122.2167376,44.69446423573324_-122.21673763550923,524,644,531,551
1/3/2020,44.7162933,-122.1852068,44.71629329713734_-122.18520676903664,507,667,875,1245
1/3/2020,44.71332886,-122.1668811,44.71332885669975_-122.1668811372406,349,378,350,482
1/3/2020,44.70982543,-122.1860153,44.70982542709168_-122.18601525279234,509,646,512,498
1/3/2020,44.71090341,-122.2372192,44.710903405432624_-122.23721922398715,711,780,828,1294
1/3/2020,44.71386785,-122.1633777,44.71386784587022_-122.16337770763252,525,693,605,516
1/3/2020,44.68853535,-122.2011069,44.68853535485805_-122.20110694956556,608,761,889,1176
1/3/2020,44.70174059,-122.2339853,44.7017405895346_-122.23398528896432,684,743,613,688
1/3/2020,44.69662019,-122.2143122,44.69662019241512_-122.21431218424212,467,613,519,572
1/3/2020,44.71710178,-122.1868237,44.717101780893046_-122.18682373654804,451,646,860,1222
1/3/2020,44.7160238,-122.1620302,44.7160238025521_-122.16203023470636,538,711,673,529
1/3/2020,44.7111729,-122.1798169,44.71117290001786_-122.17981687733192,547,664,516,550
1/3/2020,44.69904564,-122.2377582,44.69904564368225_-122.23775821315763,651,792,888,1256
1/3/2020,44.71952723,-122.246921,44.71952723216017_-122.24692102905566,317,414,334,366
1/3/2020,44.69338626,-122.2091918,44.69338625739229_-122.20919178712263,442,595,488,507
1/3/2020,44.69230828,-122.2167376,44.69230827905135_-122.21673763550923,366,426,374,517
1/3/2020,44.68233698,-122.1935611,44.68233697939762_-122.19356110117896,758,834,992,1359
1/3/2020,44.71871875,-122.2458431,44.71871874840446_-122.24584305071473,307,412,361,402
1/3/2020,44.69688969,-122.2008375,44.69688968700036_-122.20083745498032,539,642,537,534
1/3/2020,44.71844925,-122.1819728,44.71844925381922_-122.1819728340138,545,746,887,1033
1/3/2020,44.71225088,-122.1628387,44.7122508783588_-122.16283871846208,322,349,377,569
1/3/2020,44.69662019,-122.2280564,44.69662019241512_-122.22805640808916,479,525,499,659
1/3/2020,44.71683229,-122.2444956,44.71683228630781_-122.24449557778853,676,815,764,913
1/3/2020,44.68988283,-122.2046104,44.689882827784224_-122.20461037917362,463,618,526,520
1/3/2020,44.72869005,-122.1582573,44.72869004805819_-122.15825731051304,214,410,609,952
1/3/2020,44.69715918,-122.1997595,44.69715918158559_-122.19975947663936,399,427,375,505
