g,b,r,lat_lon,longitude,latitude
1395,1239,1338,44.70362705163125_-122.23398528896432,-122.23398528896432,44.70362705163125
517,375,427,44.69338625739229_-122.2126952167307,-122.2126952167307,44.69338625739229
703,601,831,44.71764077006352_-122.15744882675736,-122.15744882675736,44.71764077006352
765,659,647,44.70147109494937_-122.23614124564622,-122.23614124564622,44.70147109494937
816,688,702,44.69958463285272_-122.2337157943791,-122.2337157943791,44.69958463285272
670,427,875,44.72356965093871_-122.1757744585534,-122.1757744585534,44.72356965093871
747,579,942,44.71171188918833_-122.18574575820712,-122.18574575820712,44.71171188918833
379,337,341,44.69176928988088_-122.21107824921928,-122.21107824921928,44.69176928988088
621,483,511,44.7122508783588_-122.17712193147956,-122.17712193147956,44.7122508783588
672,542,542,44.710903405432624_-122.17927788816144,-122.17927788816144,44.710903405432624
489,395,620,44.72249167259776_-122.15071146212644,-122.15071146212644,44.72249167259776
651,510,835,44.73461892893338_-122.15987427802447,-122.15987427802447,44.73461892893338
1015,909,1016,44.7122508783588_-122.24126164276568,-122.24126164276568,44.7122508783588
628,497,499,44.69769817075606_-122.20703583044074,-122.20703583044074,44.69769817075606
652,564,561,44.70713048123932_-122.18332030694,-122.18332030694,44.70713048123932
485,470,468,44.70039311660842_-122.24260911569188,-122.24260911569188,44.70039311660842
507,319,683,44.71683228630781_-122.19059666074136,-122.19059666074136,44.71683228630781
381,182,585,44.72599510220583_-122.15798781592784,-122.15798781592784,44.72599510220583
550,436,467,44.71844925381922_-122.24584305071473,-122.24584305071473,44.71844925381922
734,521,646,44.7114423946031_-122.18224232859905,-122.18224232859905,44.7114423946031
757,682,654,44.7017405895346_-122.23721922398715,-122.23721922398715,44.7017405895346
598,422,798,44.717101780893046_-122.18817120947423,-122.18817120947423,44.717101780893046
528,461,620,44.70820845958026_-122.17307951270102,-122.17307951270102,44.70820845958026
588,477,761,44.71979672674541_-122.15583185924594,-122.15583185924594,44.71979672674541
454,432,431,44.706591492068846_-122.17981687733192,-122.17981687733192,44.706591492068846
612,491,522,44.7009321057789_-122.1992204874689,-122.1992204874689,44.7009321057789
575,553,523,44.6979676653413_-122.23209882686768,-122.23209882686768,44.6979676653413
751,560,687,44.7122508783588_-122.1819728340138,-122.1819728340138,44.7122508783588
621,556,528,44.69554221407418_-122.22266651638442,-122.22266651638442,44.69554221407418
614,442,835,44.718988242989695_-122.18278131776952,-122.18278131776952,44.718988242989695
687,565,569,44.70254907329032_-122.23991416983952,-122.23991416983952,44.70254907329032
809,646,950,44.710903405432624_-122.24260911569188,-122.24260911569188,44.710903405432624
273,229,295,44.72356965093871_-122.1366977436942,-122.1366977436942,44.72356965093871
829,573,1064,44.72626459679107_-122.16849810475202,-122.16849810475202,44.72626459679107
680,566,568,44.70605250289837_-122.23937518066904,-122.23937518066904,44.70605250289837
963,783,1178,44.70766947040979_-122.19598655244609,-122.19598655244609,44.70766947040979
619,479,512,44.70012362202319_-122.19975947663936,-122.19975947663936,44.70012362202319
538,354,718,44.727342575132006_-122.17254052353056,-122.17254052353056,44.727342575132006
591,477,509,44.69985412743795_-122.19652554161657,-122.19652554161657,44.69985412743795
710,523,640,44.71440683504069_-122.1757744585534,-122.1757744585534,44.71440683504069
666,565,817,44.717101780893046_-122.12834341155188,-122.12834341155188,44.717101780893046
369,334,352,44.69069131153993_-122.21377319507164,-122.21377319507164,44.69069131153993
659,457,853,44.7257256076206_-122.13939268954654,-122.13939268954654,44.7257256076206
418,344,396,44.69176928988088_-122.21539016258306,-122.21539016258306,44.69176928988088
382,351,363,44.69715918158559_-122.19814250912796,-122.19814250912796,44.69715918158559
650,483,544,44.70416604080173_-122.19652554161657,-122.19652554161657,44.70416604080173
494,451,500,44.69904564368225_-122.24368709403282,-122.24368709403282,44.69904564368225
549,469,464,44.70497452455744_-122.18466777986616,-122.18466777986616,44.70497452455744
584,480,503,44.702818567875546_-122.19814250912796,-122.19814250912796,44.702818567875546
757,622,643,44.698506654511775_-122.22805640808916,-122.22805640808916,44.698506654511775
304,264,320,44.689882827784224_-122.21161723838976,-122.21161723838976,44.689882827784224
567,349,775,44.72707308054677_-122.1504419675412,-122.1504419675412,44.72707308054677
447,366,387,44.69284726822182_-122.21619864633875,-122.21619864633875,44.69284726822182
536,381,759,44.71629329713734_-122.187901714889,-122.187901714889,44.71629329713734
695,525,602,44.72006622133064_-122.2488074911523,-122.2488074911523,44.72006622133064
564,487,672,44.718988242989695_-122.15529287007546,-122.15529287007546,44.718988242989695
610,517,533,44.70039311660842_-122.1976035199575,-122.1976035199575,44.70039311660842
622,478,525,44.69554221407418_-122.21565965716827,-122.21565965716827,44.69554221407418
653,484,632,44.71440683504069_-122.18385929611046,-122.18385929611046,44.71440683504069
832,641,1004,44.70389654621649_-122.1976035199575,-122.1976035199575,44.70389654621649
571,554,579,44.69688968700036_-122.23317680520864,-122.23317680520864,44.69688968700036
579,409,800,44.71952723216017_-122.1819728340138,-122.1819728340138,44.71952723216017
484,315,703,44.72356965093871_-122.18305081235476,-122.18305081235476,44.72356965093871
742,630,661,44.69904564368225_-122.23317680520864,-122.23317680520864,44.69904564368225
439,412,475,44.69742867617083_-122.19302211200848,-122.19302211200848,44.69742867617083
575,457,474,44.69662019241512_-122.2105392600488,-122.2105392600488,44.69662019241512
373,327,373,44.69176928988088_-122.21000027087834,-122.21000027087834,44.69176928988088
693,550,798,44.69958463285272_-122.23694972940191,-122.23694972940191,44.69958463285272
2551,2409,2536,44.70955593250644_-122.23802770774287,-122.23802770774287,44.70955593250644
491,436,494,44.67910304437479_-122.19275261742324,-122.19275261742324,44.67910304437479
608,506,488,44.69931513826748_-122.19140514449708,-122.19140514449708,44.69931513826748
753,604,640,44.69688968700036_-122.22643944057772,-122.22643944057772,44.69688968700036
649,516,561,44.70820845958026_-122.18278131776952,-122.18278131776952,44.70820845958026
214,162,241,44.72437813469441_-122.13939268954654,-122.13939268954654,44.72437813469441
504,355,710,44.71871874840446_-122.18844070405947,-122.18844070405947,44.71871874840446
851,570,1075,44.73246297225149_-122.16445568597348,-122.16445568597348,44.73246297225149
614,510,516,44.70605250289837_-122.18736272571851,-122.18736272571851,44.70605250289837
499,386,524,44.73542741268909_-122.16041326719494,-122.16041326719494,44.73542741268909
517,526,516,44.69554221407418_-122.249615974908,-122.249615974908,44.69554221407418
407,385,477,44.69392524656276_-122.20110694956556,-122.20110694956556,44.69392524656276
590,459,734,44.722761167183_-122.13400279784184,-122.13400279784184,44.722761167183
834,668,950,44.6912303007104_-122.2021849279065,-122.2021849279065,44.6912303007104
517,498,513,44.69473373031847_-122.22590045140726,-122.22590045140726,44.69473373031847
457,249,677,44.7257256076206_-122.16176074012112,-122.16176074012112,44.7257256076206
458,324,367,44.71629329713734_-122.24557355612949,-122.24557355612949,44.71629329713734
582,463,492,44.70066261119366_-122.19302211200848,-122.19302211200848,44.70066261119366
2257,2109,2288,44.70632199748361_-122.23560225647574,-122.23560225647574,44.70632199748361
370,329,373,44.71764077006352_-122.25015496407848,-122.25015496407848,44.71764077006352
725,474,960,44.72356965093871_-122.17604395313862,-122.17604395313862,44.72356965093871
835,677,1036,44.70928643792121_-122.18951868240042,-122.18951868240042,44.70928643792121
559,501,563,44.69688968700036_-122.23560225647574,-122.23560225647574,44.69688968700036
565,528,510,44.69473373031847_-122.22482247306633,-122.22482247306633,44.69473373031847
865,773,930,44.71036441626215_-122.23668023481667,-122.23668023481667,44.71036441626215
132,66,167,44.72303066176824_-122.17011507226344,-122.17011507226344,44.72303066176824
610,472,617,44.71629329713734_-122.16445568597348,-122.16445568597348,44.71629329713734
732,646,825,44.68098950647144_-122.19329160659372,-122.19329160659372,44.68098950647144
716,573,625,44.69769817075606_-122.22563095682202,-122.22563095682202,44.69769817075606
577,527,594,44.6866488927614_-122.20056796039508,-122.20056796039508,44.6866488927614
460,375,479,44.67856405520432_-122.19517806869035,-122.19517806869035,44.67856405520432
686,600,558,44.70308806246078_-122.2382972023281,-122.2382972023281,44.70308806246078
652,513,553,44.69176928988088_-122.20541886292932,-122.20541886292932,44.69176928988088
555,543,578,44.69581170865941_-122.2509634478342,-122.2509634478342,44.69581170865941
548,344,815,44.73003752098437_-122.16849810475202,-122.16849810475202,44.73003752098437
639,517,508,44.698506654511775_-122.20083745498032,-122.20083745498032,44.698506654511775
405,250,548,44.72464762927965_-122.16553366431442,-122.16553366431442,44.72464762927965
490,361,606,44.73866134771192_-122.15879629968352,-122.15879629968352,44.73866134771192
556,516,533,44.69527271948894_-122.25015496407848,-122.25015496407848,44.69527271948894
593,483,513,44.71467632962592_-122.16849810475202,-122.16849810475202,44.71467632962592
425,322,328,44.71979672674541_-122.24772951281136,-122.24772951281136,44.71979672674541
638,518,533,44.71305936211451_-122.1736185018715,-122.1736185018715,44.71305936211451
417,338,353,44.71359835128498_-122.16634214807011,-122.16634214807011,44.71359835128498
829,659,1019,44.706860986654085_-122.24099214818048,-122.24099214818048,44.706860986654085
1024,704,1381,44.71575430796687_-122.17415749104195,-122.17415749104195,44.71575430796687
912,783,1060,44.69877614909701_-122.20946128170787,-122.20946128170787,44.69877614909701
427,357,442,44.686109903590925_-122.20110694956556,-122.20110694956556,44.686109903590925
1041,706,1393,44.726803585961534_-122.1525979242231,-122.1525979242231,44.726803585961534
588,426,568,44.71764077006352_-122.17981687733192,-122.17981687733192,44.71764077006352
524,466,570,44.7084779541655_-122.17631344772386,-122.17631344772386,44.7084779541655
767,623,876,44.71359835128498_-122.1773914260648,-122.1773914260648,44.71359835128498
617,440,506,44.69688968700036_-122.20784431419644,-122.20784431419644,44.69688968700036
648,534,555,44.70766947040979_-122.24018366442476,-122.24018366442476,44.70766947040979
882,602,1164,44.73084600474007_-122.16553366431442,-122.16553366431442,44.73084600474007
537,439,620,44.72195268342729_-122.15421489173453,-122.15421489173453,44.72195268342729
559,557,526,44.69284726822182_-122.25338889910132,-122.25338889910132,44.69284726822182
640,535,521,44.70443553538696_-122.18655424196282,-122.18655424196282,44.70443553538696
672,495,949,44.72491712386488_-122.15502337549025,-122.15502337549025,44.72491712386488
638,478,816,44.71332885669975_-122.18978817698564,-122.18978817698564,44.71332885669975
670,477,862,44.71305936211451_-122.1849372744514,-122.1849372744514,44.71305936211451
425,264,564,44.72303066176824_-122.17927788816144,-122.17927788816144,44.72303066176824
249,199,288,44.71629329713734_-122.25150243700466,-122.25150243700466,44.71629329713734
760,558,984,44.72545611303536_-122.16903709392248,-122.16903709392248,44.72545611303536
589,396,797,44.71979672674541_-122.18143384484334,-122.18143384484334,44.71979672674541
583,436,498,44.69742867617083_-122.21161723838976,-122.21161723838976,44.69742867617083
547,404,740,44.71629329713734_-122.18817120947423,-122.18817120947423,44.71629329713734
626,492,518,44.69769817075606_-122.20622734668504,-122.20622734668504,44.69769817075606
160,144,173,44.72222217801253_-122.17550496396817,-122.17550496396817,44.72222217801253
622,519,516,44.7114423946031_-122.17793041523528,-122.17793041523528,44.7114423946031
428,401,384,44.696350697829885_-122.19948998205416,-122.19948998205416,44.696350697829885
598,530,518,44.71009492167691_-122.17388799645671,-122.17388799645671,44.71009492167691
487,368,546,44.71764077006352_-122.178738898991,-122.178738898991,44.71764077006352
416,341,451,44.717371275478285_-122.2479990073966,-122.2479990073966,44.717371275478285
441,404,455,44.69608120324465_-122.19625604703133,-122.19625604703133,44.69608120324465
751,560,1006,44.727342575132006_-122.14262662456936,-122.14262662456936,44.727342575132006
393,280,346,44.72141369425682_-122.24719052364088,-122.24719052364088,44.72141369425682
610,503,497,44.69985412743795_-122.1908661553266,-122.1908661553266,44.69985412743795
530,459,499,44.69662019241512_-122.2299428701858,-122.2299428701858,44.69662019241512
556,373,760,44.723300156353474_-122.18358980152524,-122.18358980152524,44.723300156353474
690,541,854,44.69338625739229_-122.20245442249174,-122.20245442249174,44.69338625739229
250,231,304,44.72545611303536_-122.1412791516432,-122.1412791516432,44.72545611303536
472,348,522,44.72060521050111_-122.15421489173453,-122.15421489173453,44.72060521050111
565,459,489,44.696350697829885_-122.2105392600488,-122.2105392600488,44.696350697829885
536,479,529,44.69688968700036_-122.23021236477103,-122.23021236477103,44.69688968700036
792,654,893,44.680181022715736_-122.19329160659372,-122.19329160659372,44.680181022715736
1501,1418,1510,44.70955593250644_-122.23641074023143,-122.23641074023143,44.70955593250644
478,401,584,44.71979672674541_-122.1571793321721,-122.1571793321721,44.71979672674541
561,398,632,44.719257737574935_-122.24988546949324,-122.24988546949324,44.719257737574935
700,531,907,44.69365575197752_-122.20380189541793,-122.20380189541793,44.69365575197752
679,545,574,44.69392524656276_-122.20461037917362,-122.20461037917362,44.69392524656276
499,427,515,44.72006622133064_-122.1323858303304,-122.1323858303304,44.72006622133064
641,541,536,44.7084779541655_-122.18655424196282,-122.18655424196282,44.7084779541655
538,384,730,44.73111549932531_-122.16176074012112,-122.16176074012112,44.73111549932531
454,447,493,44.694194741148_-122.22293601096966,-122.22293601096966,44.694194741148
1359,1086,1641,44.69715918158559_-122.21431218424212,-122.21431218424212,44.69715918158559
412,398,482,44.70820845958026_-122.17415749104195,-122.17415749104195,44.70820845958026
396,339,453,44.71952723216017_-122.15394539714929,-122.15394539714929,44.71952723216017
717,624,609,44.69715918158559_-122.22805640808916,-122.22805640808916,44.69715918158559
1054,717,1321,44.70362705163125_-122.24126164276568,-122.24126164276568,44.70362705163125
650,514,555,44.70551351372791_-122.19517806869035,-122.19517806869035,44.70551351372791
630,482,732,44.71871874840446_-122.249615974908,-122.249615974908,44.71871874840446
718,542,634,44.70820845958026_-122.24045315901,-122.24045315901,44.70820845958026
334,314,360,44.71791026464875_-122.15529287007546,-122.15529287007546,44.71791026464875
384,321,372,44.69149979529564_-122.2097307762931,-122.2097307762931,44.69149979529564
753,611,629,44.698506654511775_-122.2269784297482,-122.2269784297482,44.698506654511775
546,513,559,44.69662019241512_-122.2329073106234,-122.2329073106234,44.69662019241512
722,509,829,44.71656279172257_-122.24719052364088,-122.24719052364088,44.71656279172257
1419,1156,1632,44.69904564368225_-122.22590045140726,-122.22590045140726,44.69904564368225
885,691,1067,44.68907434402852_-122.2013764441508,-122.2013764441508,44.68907434402852
527,455,473,44.7084779541655_-122.18008637191716,-122.18008637191716,44.7084779541655
860,586,1160,44.7160238025521_-122.1736185018715,-122.1736185018715,44.7160238025521
445,404,438,44.694194741148_-122.22051055970252,-122.22051055970252,44.694194741148
633,467,528,44.69715918158559_-122.2059578520998,-122.2059578520998,44.69715918158559
762,628,837,44.70605250289837_-122.23991416983952,-122.23991416983952,44.70605250289837
566,457,448,44.71575430796687_-122.24584305071473,-122.24584305071473,44.71575430796687
2818,2707,2843,44.708747448750735_-122.23721922398715,-122.23721922398715,44.708747448750735
629,494,544,44.696350697829885_-122.20461037917362,-122.20461037917362,44.696350697829885
786,712,906,44.71791026464875_-122.1269959386257,-122.1269959386257,44.71791026464875
1772,1487,2068,44.6979676653413_-122.22374449472537,-122.22374449472537,44.6979676653413
404,371,423,44.71467632962592_-122.16068276178018,-122.16068276178018,44.71467632962592
619,532,509,44.708747448750735_-122.18682373654804,-122.18682373654804,44.708747448750735
1122,965,1041,44.70497452455744_-122.23668023481667,-122.23668023481667,44.70497452455744
1405,1259,1437,44.70928643792121_-122.23587175106098,-122.23587175106098,44.70928643792121
562,400,751,44.71629329713734_-122.18897969322994,-122.18897969322994,44.71629329713734
817,660,988,44.70955593250644_-122.19140514449708,-122.19140514449708,44.70955593250644
1067,853,1116,44.69769817075606_-122.2240139893106,-122.2240139893106,44.69769817075606
116,118,174,44.72356965093871_-122.1668811372406,-122.1668811372406,44.72356965093871
688,572,869,44.71278986752928_-122.19005767157088,-122.19005767157088,44.71278986752928
610,471,514,44.70039311660842_-122.19059666074136,-122.19059666074136,44.70039311660842
453,413,474,44.696350697829885_-122.19490857410511,-122.19490857410511,44.696350697829885
537,441,453,44.69769817075606_-122.2000289712246,-122.2000289712246,44.69769817075606
443,377,416,44.710633910847385_-122.1728100181158,-122.1728100181158,44.710633910847385
590,480,487,44.70335755704602_-122.1946390795199,-122.1946390795199,44.70335755704602
914,744,1119,44.71332885669975_-122.19221362825276,-122.19221362825276,44.71332885669975
388,203,576,44.727612069717246_-122.15744882675736,-122.15744882675736,44.727612069717246
528,453,612,44.71844925381922_-122.15610135383116,-122.15610135383116,44.71844925381922
596,474,537,44.694194741148_-122.21862409760588,-122.21862409760588,44.694194741148
656,541,570,44.706860986654085_-122.18439828528092,-122.18439828528092,44.706860986654085
585,509,468,44.69958463285272_-122.19356110117896,-122.19356110117896,44.69958463285272
473,350,679,44.722761167183_-122.17712193147956,-122.17712193147956,44.722761167183
1412,1171,1572,44.6979676653413_-122.22239702179918,-122.22239702179918,44.6979676653413
579,433,491,44.69527271948894_-122.20811380878168,-122.20811380878168,44.69527271948894
799,558,1003,44.72195268342729_-122.15151994588216,-122.15151994588216,44.72195268342729
624,503,500,44.70308806246078_-122.1954475632756,-122.1954475632756,44.70308806246078
839,597,1066,44.6904218169547_-122.2021849279065,-122.2021849279065,44.6904218169547
619,525,717,44.68314546315333_-122.19571705786085,-122.19571705786085,44.68314546315333
646,512,514,44.71198138377356_-122.17523546938293,-122.17523546938293,44.71198138377356
384,384,423,44.67883354978955_-122.19194413366752,-122.19194413366752,44.67883354978955
943,739,976,44.69662019241512_-122.21754611926494,-122.21754611926494,44.69662019241512
683,542,826,44.72707308054677_-122.17065406143392,-122.17065406143392,44.72707308054677
620,505,511,44.70362705163125_-122.19032716615612,-122.19032716615612,44.70362705163125
643,482,793,44.73866134771192_-122.15906579426876,-122.15906579426876,44.73866134771192
655,503,570,44.69500322490371_-122.21970207594684,-122.21970207594684,44.69500322490371
633,463,531,44.71117290001786_-122.1819728340138,-122.1819728340138,44.71117290001786
164,164,189,44.72410864010918_-122.17173203977484,-122.17173203977484,44.72410864010918
421,424,417,44.70416604080173_-122.1841287906957,-122.1841287906957,44.70416604080173
719,498,940,44.726803585961534_-122.16742012641107,-122.16742012641107,44.726803585961534
666,534,880,44.71386784587022_-122.187901714889,-122.187901714889,44.71386784587022
974,743,1141,44.706860986654085_-122.19706453078702,-122.19706453078702,44.706860986654085
