t,BO,HT,LB
5/27/2014 11:30,,818157.3461,
6/3/2014 10:00,,,1192764.4
6/3/2014 11:15,,2185083.6,
6/3/2014 11:25,,1321681.7,
6/5/2014 12:15,487648.9276,,
6/5/2014 12:30,,3592470.733,
6/5/2014 12:45,,,253272.1227
6/10/2014 9:45,,,560395.4413
6/10/2014 11:50,,189729.2611,
6/10/2014 12:20,,116957.1229,
6/17/2014 10:10,,,265167.7513
6/17/2014 11:30,,16108.09347,
6/17/2014 12:00,,11529.19532,
6/24/2014 10:10,,,30456.23081
6/24/2014 12:05,,168311.4294,
7/1/2014 9:50,,,1511.938648
7/1/2014 11:30,,50919.47746,
7/8/2014 9:50,,,41614.06522
7/8/2014 11:30,,59389.59008,
7/15/2014 10:00,,,329886.0724
7/15/2014 11:30,,1976854.183,
7/22/2014 9:30,,,321706.9457
7/22/2014 10:30,,3181.767159,
7/29/2014 10:10,,,480460.5038
7/29/2014 11:10,,1099007.062,
8/4/2014 11:05,,,223990.9108
8/4/2014 12:00,,68685.21288,
8/8/2014 12:15,,,485412.0289
8/12/2014 9:50,,,2142.320816
8/12/2014 10:40,,976145.9763,
8/19/2014 10:15,,,42121.49078
8/19/2014 11:15,,29019.62243,
8/27/2014 10:15,,,309107.457
8/27/2014 11:10,,12095.50919,
9/2/2014 11:27,,,128794.7737
9/2/2014 12:05,,324786.8207,
9/2/2014 12:15,,165177.9711,
9/9/2014 10:30,,,320431.4419
9/9/2014 11:20,,449663.8973,
9/9/2014 11:35,,68675.61326,
9/9/2014 12:00,175884.8309,,
10/7/2014 11:55,8321.71032,,
10/21/2014 10:45,,,3974.123054
10/21/2014 11:43,,629.1031939,
4/14/2015 11:00,,,1549.866483
4/21/2015 10:43,,,143274.0539
4/21/2015 11:31,,264099.2833,
4/28/2015 10:30,,,698011.6759
4/28/2015 11:08,,1544926.401,
5/5/2015 10:31,,,174780.1077
5/5/2015 11:21,,1165039.445,
5/12/2015 10:28,,,1171752.452
5/12/2015 11:31,,135972876.1,
5/18/2015 10:38,,,62896.64776
5/18/2015 11:17,,2786327.469,
5/26/2015 10:35,,,207437.9825
5/26/2015 11:30,,637129.702,
6/8/2015 11:28,,,378320.6484
6/8/2015 11:56,,134424.412,
6/16/2015 10:01,,,4604.695638
6/16/2015 10:11,,,5247.787054
6/16/2015 11:15,,66359.41584,
6/23/2015 9:58,,,390.9101943
6/23/2015 10:50,,44.79818217,
6/30/2015 11:56,,,652.7735116
7/14/2015 10:33,,,2130.549279
7/14/2015 11:25,,37.33181847,
7/21/2015 9:47,,,313.5872752
7/21/2015 10:29,,145.0607804,
7/21/2015 10:50,147.0278745,,
7/28/2015 9:37,,,1839.712014
7/28/2015 10:15,,6329.343166,
8/4/2015 10:30,,,263.8115172
8/4/2015 11:14,,9150.890211,
8/11/2015 10:15,,,24.74026735
8/11/2015 10:59,,753.5959562,
8/18/2015 10:34,,,228.4707291
8/18/2015 11:19,,4995.41341,
8/25/2015 10:49,,,94.57394013
8/25/2015 11:38,,2008629.16,
9/1/2015 10:12,,,35611.35495
9/1/2015 10:51,,24996.27067,
9/15/2015 10:55,,,388331.3826
9/15/2015 11:34,,597267.2839,
9/22/2015 10:15,,,130476.2711
9/22/2015 10:51,,490521.4288,
4/12/2016 10:10,,,3023.877296
4/26/2016 12:02,,9727.63087,
5/3/2016 11:15,,,5833.232458
5/9/2016 11:05,,,1947.553845
5/9/2016 12:10,,114.3359053,
5/17/2016 10:59,,,8827.22044
5/17/2016 11:54,,2006.998988,
5/17/2016 12:32,349417.1599,,
5/24/2016 9:32,,,446858.6939
5/24/2016 10:20,,593737.5309,
5/31/2016 11:48,,,832779.2838
5/31/2016 12:32,,12135875.09,
6/2/2016 11:52,,,721479.994
6/2/2016 12:04,,3612784.472,
6/7/2016 11:18,,,384391.7697
6/7/2016 12:15,,2186271.349,
6/7/2016 12:23,,210990.4784,
6/14/2016 10:11,,,981697.3651
6/14/2016 10:31,,69452.87964,
6/21/2016 12:58,,,101770.2703
6/21/2016 13:47,,95433.56747,
6/28/2016 12:50,,,1072455.144
6/28/2016 13:40,,1840313.87,
7/5/2016 11:40,,,2457323.646
7/5/2016 12:24,,777823.8755,
7/12/2016 10:55,,,3189632.106
7/12/2016 11:55,,3971754.376,
7/18/2016 12:00,,,26164.9859
7/18/2016 13:10,,23593.22745,
7/26/2016 10:30,,,579.0636289
7/26/2016 11:41,,61935.25819,
8/2/2016 11:37,,,14615.13221
8/2/2016 12:23,,289.5318144,
8/9/2016 12:10,,1280.776151,
8/23/2016 11:25,,,8096.110364
8/23/2016 12:07,,104110.9754,
8/23/2016 12:13,,15020.40937,
8/29/2016 11:50,,,53090.25401
8/29/2016 12:31,,51649.03765,
9/6/2016 10:42,,,53318.28659
9/6/2016 11:18,,40163.57532,
9/27/2016 10:31,,,132983.4038
4/25/2017 11:50,,9004.434616,
4/25/2017 12:31,16401.06247,,
5/9/2017 12:07,,,16306.53831
5/9/2017 12:50,,8043.55572,
5/31/2017 11:05,,,134048.797
5/31/2017 12:05,,13045484.31,
6/5/2017 11:45,,,45803531.76
6/5/2017 12:00,,494868161.2,
6/5/2017 12:38,1248330657,,
6/7/2017 10:00,,,4570582.6
6/7/2017 10:15,,988147169.4,
6/7/2017 10:45,942117685.8,,
6/12/2017 11:05,,,279734.4758
6/12/2017 11:55,,1793258.74,
6/12/2017 12:25,3320910.401,,
6/20/2017 11:15,,,54642.25693
6/20/2017 11:50,,12469.65562,
6/20/2017 12:27,8491.292291,,
6/27/2017 10:50,,,9191.077459
6/27/2017 11:45,,18973.12382,
6/27/2017 12:30,27127.33737,,
7/11/2017 11:55,,785290.0765,
7/18/2017 12:30,,,17873.39539
7/18/2017 13:15,,40728.28055,
7/25/2017 11:15,,,1552716.773
7/25/2017 11:55,,1777529.965,
7/25/2017 12:10,189511.2433,,
8/1/2017 8:45,146177.92,,
8/1/2017 9:20,,4246336.161,
8/1/2017 9:45,,,207817.0345
8/3/2017 10:00,,,93626.91595
8/3/2017 10:30,,18393526.85,
8/3/2017 11:05,137251.7014,,
8/8/2017 10:55,,,1402798.068
8/8/2017 11:43,,2650942.042,
8/8/2017 12:15,32443.68831,,
8/10/2017 10:20,59587.9403,,
8/10/2017 10:45,,5623749.769,
8/10/2017 11:05,,,730268.2935
8/15/2017 10:40,,,436147.3061
8/15/2017 11:20,,172709.1332,
8/24/2017 11:00,,,586135.0504
8/24/2017 11:32,,132644.2018,
8/24/2017 11:53,126661.6312,,
8/29/2017 10:40,,,15404.67511
8/29/2017 11:15,,183215.6421,
9/12/2017 11:24,,,45438.79617
9/12/2017 11:55,,12844.53479,
9/19/2017 10:15,,,322941.7052
4/24/2018 10:40,,,3727.208756
4/24/2018 11:30,,526.8266223,
5/8/2018 10:30,,,307318.4424
5/8/2018 10:40,,,4887.373574
5/8/2018 11:20,,2694460.155,
5/8/2018 11:50,5055247.47,,
5/10/2018 11:20,841460.7507,,
5/10/2018 11:35,,95660.80676,
5/10/2018 11:50,,,3358.067438
5/14/2018 10:25,,,2198512.08
5/14/2018 11:00,,98931806.43,
5/14/2018 11:30,30904149.78,,
5/16/2018 9:55,,,2285.005827
5/16/2018 10:00,,,987.0316364
5/16/2018 10:33,,14022.32239,
5/16/2018 11:00,3441613.715,,
5/17/2018 9:35,,,9865.346719
5/17/2018 9:50,,4069587.944,
5/17/2018 10:10,4222419.775,,
5/21/2018 10:00,,,2992426.394
5/21/2018 10:40,,12569695.82,
5/21/2018 11:00,513181803.7,,
5/23/2018 9:55,832375.9041,,
5/23/2018 10:20,,176297.1572,
5/23/2018 10:35,,,682846.7557
5/27/2018 9:50,,,428926.8582
5/27/2018 10:10,,819070.8444,
5/27/2018 10:35,2786554.8,,
5/29/2018 10:35,,,394754.667
5/30/2018 9:50,,,325400.1858
5/31/2018 10:20,,,215080.7632
6/2/2018 10:15,,,325506.9394
6/2/2018 10:40,,3398589.747,
6/3/2018 10:45,,,40910.48757
6/3/2018 11:10,,244807.9242,
6/3/2018 11:30,58470.62283,,
6/4/2018 10:35,,,1111881.188
6/4/2018 11:00,,3595032.134,
6/4/2018 11:30,3232265.744,,
6/6/2018 9:50,,,3238253.201
6/6/2018 10:30,,36155926.89,
6/6/2018 10:55,199838.6802,,
6/7/2018 10:00,760465.1683,,
6/7/2018 10:50,,,1906000.936
6/7/2018 11:55,,2927047.09,
6/8/2018 10:10,,,1092940.539
6/8/2018 10:40,,1509403.293,
6/8/2018 11:00,1415560.528,,
6/9/2018 8:55,,,2611984.049
6/9/2018 9:20,,1172667.874,
6/9/2018 9:40,1678496.29,,
6/12/2018 10:20,,,3256292.807
6/12/2018 10:55,,3308027.627,
6/12/2018 11:30,1958085.102,,
6/13/2018 9:50,,,1117540.051
6/15/2018 10:40,,,326137.5481
6/15/2018 11:10,,2083303.634,
6/15/2018 11:30,667269.8422,,
6/17/2018 14:20,,,294627.8256
6/17/2018 14:55,,5817899.896,
6/17/2018 15:20,376463.2876,,
6/18/2018 10:25,,,1171098.375
6/18/2018 10:50,,3593686.732,
6/18/2018 11:05,2339603.063,,
6/19/2018 11:35,,,876030.3613
6/19/2018 12:15,,166410.5457,
6/19/2018 12:45,2331721.018,,
6/21/2018 10:20,,,3647505.116
6/21/2018 11:00,,138117.3788,
6/21/2018 11:30,118830.0765,,
6/23/2018 9:35,,,2934322.757
6/23/2018 9:40,,1488465.576,
6/23/2018 10:00,1490437.293,,
6/24/2018 11:50,,,168269.4982
6/24/2018 12:20,,17125002.46,
6/24/2018 12:35,2153560.257,,
6/25/2018 10:25,,,2994243.057
6/25/2018 11:10,,1207303.608,
6/25/2018 11:30,1055663.089,,
6/27/2018 10:50,,,1750142.535
6/27/2018 11:18,,517624.9265,
6/27/2018 11:40,569120.5841,,
6/28/2018 10:05,,,2495360.345
6/28/2018 10:30,,940619.7279,
6/28/2018 10:50,276598.671,,
6/29/2018 10:10,,,2506517.962
6/29/2018 10:35,,780121.3272,
6/29/2018 10:55,203414.6973,,
7/2/2018 9:45,,,3688740.903
7/2/2018 10:00,,322460.7341,
7/2/2018 10:15,2461613.878,,
7/3/2018 10:00,,,18817149.23
7/3/2018 10:25,,1021255.767,
7/3/2018 10:40,61191.48582,,
7/5/2018 9:35,,,9617357.866
7/5/2018 9:55,,4515622.065,
7/5/2018 10:05,2384484.889,,
7/6/2018 9:45,,,3311132.96
7/9/2018 10:10,,,1751202.359
7/9/2018 10:30,,88142.80912,
7/9/2018 10:50,716404.0946,,
7/13/2018 10:25,,,6815.664659
7/13/2018 11:00,,2344960.414,
