t,BO,HT,LB
6/3/2018 10:45,-,-,0.106-1.065
6/3/2018 11:10,-,0.101-0.722,-
6/3/2018 11:30,0.095-0.685,-,-
6/4/2018 10:35,-,-,0.104-0.635
6/4/2018 11:00,-,0.101-1.579,-
6/4/2018 11:30,0.127-1.69,-,-
6/5/2018 10:00,-,-,0.105-1.26
6/5/2018 10:55,-,0.083-96.4,-
6/5/2018 11:40,0.099-0.803,-,-
6/6/2018 9:50,-,-,0.11-2.449
6/6/2018 10:30,-,0.139-17.09,-
6/6/2018 10:55,0.079-2.029,-,-
6/7/2018 10:00,0.136-1.243,-,-
6/7/2018 10:50,-,-,0.146-2.066
6/7/2018 11:55,-,0.202-2.821,-
6/8/2018 10:10,-,-,0.123-2.946
6/8/2018 10:40,-,0.125-1.873,-
6/8/2018 11:00,0.109-1.547,-,-
6/9/2018 8:55,-,-,0.13-4.003
6/9/2018 9:20,-,0.095-3.89,-
6/9/2018 9:40,0.12-1.546,-,-
6/10/2018 10:00,-,-,0.097-4.571
6/10/2018 10:30,-,0.106-5,-
6/10/2018 10:55,0.1-5,-,-
6/11/2018 11:00,-,-,0.117-50
6/11/2018 11:30,-,0.103-5,-
6/11/2018 11:50,0.084-5,-,-
6/12/2018 10:20,-,-,0.128-2.855
6/12/2018 10:55,-,0.089-4.052,-
6/12/2018 11:30,0.119-2.572,-,-
6/13/2018 9:50,-,-,0.106-4.216
6/13/2018 10:00,-,0.089-3.755,-
6/13/2018 10:15,0.107-1.383,-,-
6/14/2018 10:25,0.111-2.507,-,-
6/14/2018 10:50,-,0.124-4.425,-
6/14/2018 11:13,-,-,0.115-8.525
6/15/2018 10:40,-,-,0.105-5.145
6/15/2018 11:10,-,0.08-3.627,-
6/15/2018 11:30,0.096-3.093,-,-
6/16/2018 9:10,-,-,0.098-6.37
6/16/2018 9:30,-,0.101-4.26,-
6/16/2018 9:55,0.101-3.333,-,-
6/17/2018 14:20,-,-,0.115-3.833
6/17/2018 14:55,-,0.08-32.86,-
6/17/2018 15:20,0.108-3.317,-,-
6/18/2018 10:25,-,-,0.095-4.166
6/18/2018 10:50,-,0.119-11.425,-
6/18/2018 11:05,0.126-7.265,-,-
6/19/2018 11:35,-,-,0.126-3.605
6/19/2018 12:15,-,0.115-5,-
6/19/2018 12:45,0.114-18.82,-,-
6/20/2018 9:45,-,-,0.122-5.635
6/20/2018 10:10,-,0.119-4.169,-
6/20/2018 10:40,0.116-15.24,-,-
6/21/2018 10:20,-,-,0.09-5.075
6/21/2018 11:00,-,0.096-1.753,-
6/21/2018 11:30,0.09-4.113,-,-
6/23/2018 9:25,-,-,0.123-4.467
6/23/2018 9:40,-,0.096-4.478,-
6/23/2018 10:00,0.102-3.513,-,-
6/24/2018 11:50,-,-,0.107-2.615
6/24/2018 12:20,-,0.085-9.24,-
6/24/2018 12:35,0.098-5.97,-,-
6/25/2018 10:25,-,-,0.111-6.53
6/25/2018 11:10,-,0.101-3.304,-
6/25/2018 11:30,0.107-2.623,-,-
6/26/2018 9:55,-,-,0.117-10.605
6/26/2018 10:30,-,0.124-4.465,-
6/26/2018 11:00,0.125-6.545,-,-
6/27/2018 10:50,-,-,0.083-8.545
6/27/2018 11:18,-,0.1-2.965,-
6/27/2018 11:40,0.085-3.625,-,-
6/28/2018 10:05,-,-,0.116-19.635
6/28/2018 10:30,-,0.109-6.6,-
6/28/2018 10:50,0.109-0.998,-,-
6/29/2018 10:10,-,-,0.112-13.19
6/29/2018 10:35,-,0.099-6.01,-
6/29/2018 10:55,0.097-1.835,-,-
7/2/2018 9:45,-,-,0.091-7.405
7/2/2018 10:00,-,0.097-1.936,-
7/2/2018 10:15,0.092-0.996,-,-
7/3/2018 10:00,-,-,0.091-106.2
7/3/2018 10:25,-,0.095-12.335,-
7/3/2018 10:40,0.092-1.414,-,-
7/5/2018 9:35,-,-,0.115-10.785
7/5/2018 9:55,-,0.124-6.67,-
7/5/2018 10:05,0.113-1.82,-,-
7/6/2018 0:00,-,-,0.093-5
7/9/2018 0:00,-,-,0.073-5
7/9/2018 10:10,-,-,0.101-15.785
7/9/2018 10:30,-,0.758-13.725,-
7/9/2018 10:50,0.689-7.518,-,-
7/9/2018 11:50,0.078-3.076,-,-
7/11/2018 9:50,-,-,0.169-22.875
7/11/2018 10:25,-,0.165-6.748,-
7/11/2018 10:40,0.168-4.433,-,-
7/13/2018 11:00,-,0.086-1.023,-
7/13/2018 11:20,0.078-2.561,-,-
7/13/2018 11:25,-,-,0.152-2.456
7/16/2018 9:40,-,-,0.093-5
7/16/2018 10:15,-,0.083-5,-
7/16/2018 10:35,0.089-1.386,-,-
7/18/2018 10:00,-,-,0.084-5
7/18/2018 10:30,-,0.092-5,-
7/18/2018 10:45,0.097-1.499,-,-
7/24/2018 9:50,-,-,0.064-5
7/24/2018 10:45,-,0.075-1.991,-
7/24/2018 11:40,0.075-1.875,-,-
7/26/2018 9:50,-,-,0.073-1.106
7/26/2018 10:25,-,0.08-2.028,-
7/26/2018 10:45,0.089-0.709,-,-
7/31/2018 10:40,-,-,0.075-0.597
7/31/2018 11:15,-,0.083-0.822,-
7/31/2018 11:40,0.068-0.662,-,-
8/2/2018 9:40,0.063-0.153,-,-
8/2/2018 10:20,-,0.063-0.163,-
8/2/2018 10:55,-,-,0-0.001
8/7/2018 10:00,-,-,0.081-0.008
8/7/2018 10:30,-,0.072-0.233,-
8/7/2018 10:50,0.083-0.196,-,-
8/9/2018 0:00,-,-,0.06-0.166
8/9/2018 10:10,-,-,0.081-0.008
8/9/2018 10:25,-,0.066-0.082,-
8/9/2018 10:50,0.066-0.074,-,-
8/14/2018 10:45,-,-,0.069-0.092
8/14/2018 11:30,-,0.058-0.053,-
8/14/2018 12:00,0.048-0.063,-,-
8/16/2018 10:55,-,-,0.065-0.109
8/16/2018 11:15,-,0.077-0.078,-
8/16/2018 11:35,0.079-0.106,-,-
8/21/2018 10:40,-,-,0.061-0.127
8/21/2018 10:55,-,0.061-0.072,-
8/21/2018 11:20,0.059-0.12,-,-
8/29/2018 10:45,-,-,0.046-0.072
8/29/2018 11:05,-,0.041-0.072,-
8/29/2018 11:30,0.033-0.028,-,-
9/11/2018 11:30,-,-,0.027-0.062
9/11/2018 11:45,-,0.048-0.161,-
9/11/2018 12:05,0.048-0.092,-,-
9/26/2018 11:20,-,-,0.058-0.069
9/26/2018 11:45,-,0.054-0.074,-
9/26/2018 12:05,0.057-0.091,-,-
10/2/2018 10:30,-,-,0.049-0.128
10/2/2018 10:50,-,0.029-0.074,-
10/2/2018 11:05,0.049-0.05,-,-
3/5/2019 10:50,-,-,0.004-0
3/5/2019 11:35,-,0.007-0,-
3/5/2019 12:00,0-0,-,-
4/9/2019 11:00,-,-,0-0
4/9/2019 11:45,-,0-0.003,-
4/9/2019 12:15,0-0.025,-,-
4/17/2019 10:00,-,-,0.002-0
4/17/2019 10:45,-,0-0.014,-
4/17/2019 11:10,0-0.009,-,-
4/23/2019 10:30,-,-,0.003-0
4/23/2019 11:05,-,0-0,-
4/23/2019 11:35,0.001-0,-,-
4/30/2019 10:20,-,-,0-0.038
4/30/2019 11:05,-,0-0.071,-
4/30/2019 11:35,0-0.018,-,-
5/7/2019 10:05,-,-,0.011-0.007
5/7/2019 10:50,-,0.006-0.009,-
5/7/2019 11:20,0.003-0.009,-,-
5/14/2019 9:45,-,-,0-0.046
5/14/2019 10:25,-,0.004-0.046,-
5/14/2019 11:20,0.005-0.035,-,-
5/14/2019 12:00,-,-,0.002-0.064
5/21/2019 9:40,-,-,0.009-0.05
5/21/2019 10:30,-,0.008-0.058,-
5/21/2019 11:30,0.005-0.057,-,-
5/28/2019 9:15,-,-,0.017-0.078
5/28/2019 10:00,-,0.021-0.066,-
5/28/2019 10:25,0.032-0.08,-,-
5/30/2019 9:30,-,0.002-0.097,-
5/30/2019 9:45,0.013-0.206,-,-
5/30/2019 10:00,-,-,0.005-0.142
6/3/2019 8:40,-,-,0.02-0.088
6/3/2019 9:35,-,0.024-0.094,-
6/3/2019 10:15,0.029-0.081,-,-
6/4/2019 9:20,-,-,0.029-0.104
6/4/2019 10:00,-,0.042-0.181,-
6/4/2019 10:40,0.047-0.118,-,-
6/5/2019 10:50,-,-,0.018-0.161
6/5/2019 11:30,-,0.038-0.185,-
6/5/2019 11:50,0.051-0.16,-,-
6/6/2019 9:30,-,-,0.014-0.137
6/6/2019 10:10,-,0.035-0.302,-
6/6/2019 10:30,-0.216,-,-
6/7/2019 9:10,-,-,0.008-0.152
6/7/2019 9:50,-,0.047-0.342,-
6/7/2019 10:10,0.058-0.446,-,-
6/10/2019 9:55,-,-,0.117-0.856
6/10/2019 10:46,-,0.529-4.558,-
6/10/2019 11:35,0.441-2.408,-,-
6/11/2019 9:35,-,-,0.123-0.738
6/11/2019 10:30,-,0.727-3.585,-
6/11/2019 10:35,0.539-5,-,-
6/12/2019 10:00,-,-,0.195-1.242
6/12/2019 11:00,-,-5,-
6/12/2019 11:50,1.805-5,-,-
6/13/2019 9:30,-,-,0.52-5
6/13/2019 10:15,-,0.302-1.138,-
6/13/2019 10:45,2-5,-,-
6/14/2019 0:00,0.359-1.251,0.281-2.147,0.029-1.163
6/17/2019 0:00,0.084-1.553,0.107-4.519,0.121-3.83
6/18/2019 0:00,0.04-1.025,0.093-3.133,0.069-3.221
6/19/2019 0:00,0.093-0.615,0.072-3.4,0.07-4.32
6/20/2019 0:00,0.051-1.086,0.076-2.088,0.051-5
6/21/2019 0:00,0.079-2.372,0.061-3.147,0.05-5
6/24/2019 0:00,0.062-0.771,0.032-3.484,0.043-2.672
6/25/2019 0:00,0.098-0.878,0.071-3.493,0.082-4.36
6/26/2019 0:00,0.06-0.877,0.06-4.47,0.03-5
7/5/2019 0:00,0.095-0.557,0.081-3.236,0.081-4.81
7/8/2019 0:00,0.123-0.49,0.149-4.045,0.149-4.282
7/9/2019 0:00,0.054-0.425,0.065-3.463,0.071-4.913
7/10/2019 0:00,0.089-0.657,0.065-5,0.054-3.443
7/11/2019 0:00,0.144-0.728,0.09-2.587,0.072-5
7/12/2019 0:00,0.045-0.359,0.067-2.691,0.064-4.393
7/16/2019 0:00,0.003-1.031,0.038-3.504,0.039-2.224
7/18/2019 0:00,0.046-0.445,0.056-3.132,0.05-5
7/23/2019 0:00,0-0.24,0-1.137,0-1.745
7/25/2019 0:00,0-0.228,0-4.535,0-2.333
7/30/2019 0:00,0-0.331,0-0.78,0.049-1.573
8/1/2019 0:00,0.002-0.091,0.059-0,0.002-1.184
8/6/2019 0:00,0.058-0.22,0.086-0.738,0.072-1.488
8/8/2019 0:00,0.019-0.259,0.031-1.181,0.045-2.742
8/13/2019 0:00,0.039-0.437,0.037-1.526,0.075-0.767
8/15/2019 0:00,0.044-0.347,0.038-0.46,0.052-0.897
8/20/2019 0:00,0.032-0.387,0.035-0.819,0.049-1.048
8/22/2019 0:00,0.053-3.442,0.049-5,0.038-0.643
8/27/2019 0:00,0.035-0.143,0.023-0.246,0.042-0.675
8/29/2019 0:00,0.03-0.134,0.036-0.163,0.041-0.248
9/3/2019 0:00,0.03-0.153,0.017-0.161,0.029-0.238
9/10/2019 0:00,-,-0.154,-0.105
9/24/2019 0:00,0.026-0.091,0.034-0.073,0.021-0.137
10/1/2019 0:00,0.029-0.094,0.013-0.098,0.017-0.074
10/9/2019 0:00,0.017-0.076,0.018-0.058,0.012-0.082
10/15/2019 0:00,0.017-0.06,0.012-0.073,0.025-0.087
10/30/2019 0:00,0.011-0.049,0.009-0.038,0.011-0.095
