,Time,Site,Cylindrospermopsin,Microcystin,Depth,LCMSMS_Cylindrospermopsin,LCMSMS_Microcystin
684,2018-06-14 10:25:00,BO,0.111,2.507,0.0,0.06400000303983688,1.5901999473571777
685,2018-06-14 10:50:00,HT,0.124,4.425,0.0,0.08910000324249268,5.275199890136719
686,2018-06-14 11:13:00,LB,0.115,8.525,0.0,0.042100001126527786,2.11299991607666
687,2018-06-14 11:15:00,LBS,0.128,3.05,22.0,0.158,5.215
688,2018-06-14 12:20:00,BCR,0.0,0.0,0.0,0.0,0.0
689,2018-06-14 11:20:00,LBP,0.0,0.0,160.0,0.0,0.02449999935925007
690,2018-06-14 12:40:00,PK,0.0,0.0,0.0,0.0,0.18160000443458557
691,2018-06-15 00:00:00,PK,0.0,0.0,0.0,0.0,0.0
692,2018-06-15 10:40:00,LB,0.105,5.145,0.0,0.0,4.746799945831299
693,2018-06-15 10:50:00,LBS,0.106,3.771,22.0,0.037300001829862595,2.715399980545044
694,2018-06-15 10:55:00,LBP,0.0,0.0,160.0,0.027499999850988388,0.023800000548362732
695,2018-06-15 11:10:00,HT,0.08,3.627,0.0,0.02590000070631504,1.6689000129699707
696,2018-06-15 12:00:00,BCR,0.0,0.0,0.0,0.0,0.007
697,2018-06-15 11:30:00,BO,0.096,3.093,0.0,0.0364999994635582,1.3868000507354736
698,2018-06-16 08:30:00,BCR,0.0,0.0,0.0,0.0,0.0
699,2018-06-16 08:15:00,PK,0.0,0.0,0.0,0.0,0.0
700,2018-06-16 09:10:00,LB,0.098,6.37,0.0,0.02590000070631504,3.1319000720977783
701,2018-06-16 09:15:00,LBS,0.069,2.95,22.0,0.0,0.12970000505447388
702,2018-06-16 09:20:00,LBP,0.0,0.0,160.0,0.022700000554323196,0.0
703,2018-06-16 09:30:00,HT,0.101,4.26,0.0,0.03480000048875809,0.40610000491142273
704,2018-06-16 09:55:00,BO,0.101,3.333,0.0,0.0,0.005400000140070915
705,2018-06-17 13:30:00,BCR,0.0,0.0,0.0,0.0,0.005
706,2018-06-17 13:10:00,PK,0.0,0.0,0.0,0.017799999564886093,0.01810000091791153
707,2018-06-17 14:20:00,LB,0.115,3.833,0.0,0.0,0.017999999225139618
708,2018-06-17 14:25:00,LBS,0.09,3.137,22.0,0.0,0.3806999921798706
709,2018-06-17 14:30:00,LBP,0.054,0.0,160.0,0.0,0.0
710,2018-06-17 14:55:00,HT,0.08,32.86,0.0,0.013000000268220901,33.38639831542969
711,2018-06-17 15:20:00,BO,0.108,3.317,0.0,0.05999999865889549,0.6248999834060669
712,2018-06-18 09:30:00,BCR,0.0,0.0755,0.0,0.0543,0.0041
713,2018-06-18 09:20:00,PK,0.0,0.0,0.0,0.029999999329447746,0.0
714,2018-06-18 10:25:00,LB,0.095,4.166,0.0,0.07779999822378159,1.2285000085830688
715,2018-06-18 10:30:00,LBS,0.098,4.513,22.0,0.012199999764561653,0.10809999704360962
716,2018-06-18 10:35:00,LBP,0.0,0.0,160.0,0.0,0.007799999788403511
717,2018-06-18 10:50:00,HT,0.119,11.425,0.0,0.0,0.6599000096321106
718,2018-06-18 11:05:00,BO,0.126,7.265,0.0,0.0,0.0024999999441206455
719,2018-06-19 10:45:00,BCR,0.0,0.0,0.0,0.034,0.0
720,2018-06-19 10:25:00,PK,0.0,0.0,0.0,0.0,0.0
721,2018-06-19 11:35:00,LB,0.126,3.605,0.0,0.0,0.012199999764561653
722,2018-06-19 11:45:00,LBS,0.123,4.497,0.0,0.016200000420212746,0.20579999685287476
723,2018-06-19 11:55:00,LBP,0.054,0.0,160.0,0.07859999686479568,0.006399999838322401
724,2018-06-19 12:15:00,HT,0.115,5.0,0.0,0.07699999958276749,2.1916000843048096
725,2018-06-19 12:45:00,BO,0.114,18.82,0.0,0.11180000007152557,1.205199956893921
