t,14178000,14179000,14180300,14181500,,,,,
12/10/2020,4.1---,4---,4.1---,7.4-734-1.24-0.14,,,,,
12/11/2020,4.3---,3.7---,3.6---,7.3-733-1.26-0.13,,,,,
12/12/2020,4.6---,4.3---,3.6---,7.1-734-1.08-0.13,,,,,
12/13/2020,4.8---,4.7---,3.9---,7.1-732-1.21-0.14,,,,,
12/14/2020,5---,5---,4.3---,7.2-738-1.35-0.15,,,,,
12/15/2020,5---,5.3---,4.7---,7-736-1.11-0.13,,,,,
12/16/2020,5.4---,5.5---,5---,7-730-1.18-0.14,,,,,
12/17/2020,5.4---,5.6---,5.4---,6.9-733-1.2-0.14,,,,,
12/18/2020,5.6---,6---,5.3---,6.8-737-1.04-0.12,,,,,
12/19/2020,4.7---,6.1---,5.8---,6.9-738-1.08-0.12,,,,,
12/20/2020,4.1---,6.3---,6.4---,7-736-1.53-0.19,,,,,
12/21/2020,3.9---,5.2---,6.6---,7.4-730-0.65-0.12,,,,,
12/22/2020,4.4---,4.6---,5.4---,6.6-740-0.65-0.11,,,,,
12/23/2020,4.7---,4.4---,4.7---,6.3-741-0.95-0.13,,,,,
12/24/2020,4.3---,4.8---,4.4---,6.4-735-1.04-0.13,,,,,
12/25/2020,3.8---,5.2---,4.7---,6.4-727-1.06-0.12,,,,,
12/26/2020,3.4---,4.9---,5.1---,6.4-733-0.98-0.13,,,,,
12/27/2020,4.2---,4.3---,4.6---,6.1-732-0.94-0.14,,,,,
12/28/2020,4.5---,4---,4.1---,6.2-733-1.12-0.14,,,,,
12/29/2020,3.4---,4.4---,3.8---,6.1-738-1.07-0.14,,,,,
12/30/2020,4.2---,4.7---,4.3---,6-733-1.08-0.14,,,,,
12/31/2020,4.5---,4.7---,4.9---,6-735-1.03-0.14,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,---
